symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,wheel-base,length,width,height,engine-type,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,?,alfa-romero,gas,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,130,111,5000,21,27,13495
3,?,alfa-romero,gas,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,130,111,5000,21,27,16500
1,?,alfa-romero,gas,hatchback,rwd,front,94.5,171.2,65.5,52.4,ohcv,152,154,5000,19,26,16500
2,164,audi,gas,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,109,102,5500,24,30,13950
2,164,audi,gas,sedan,4wd,front,99.4,176.6,66.4,54.3,ohc,136,115,5500,18,22,17450
2,?,audi,gas,sedan,fwd,front,99.8,177.3,66.3,53.1,ohc,136,110,5500,19,25,15250
1,158,audi,gas,sedan,fwd,front,105.8,192.7,71.4,55.7,ohc,136,110,5500,19,25,17710
1,?,audi,gas,wagon,fwd,front,105.8,192.7,71.4,55.7,ohc,136,110,5500,19,25,18920
1,158,audi,gas,sedan,fwd,front,105.8,192.7,71.4,55.9,ohc,131,140,5500,17,20,23875
2,192,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,108,101,5800,23,29,16430
0,192,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,108,101,5800,23,29,16925
0,188,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,164,121,4250,21,28,20970
0,188,bmw,gas,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,164,121,4250,21,28,21105
1,?,bmw,gas,sedan,rwd,front,103.5,189,66.9,55.7,ohc,164,121,4250,20,25,24565
0,?,bmw,gas,sedan,rwd,front,103.5,189,66.9,55.7,ohc,209,182,5400,16,22,30760
0,?,bmw,gas,sedan,rwd,front,103.5,193.8,67.9,53.7,ohc,209,182,5400,16,22,41315
0,?,bmw,gas,sedan,rwd,front,110,197,70.9,56.3,ohc,209,182,5400,15,20,36880
2,121,chevrolet,gas,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,61,48,5100,47,53,5151
1,98,chevrolet,gas,hatchback,fwd,front,94.5,155.9,63.6,52,ohc,90,70,5400,38,43,6295
0,81,chevrolet,gas,sedan,fwd,front,94.5,158.8,63.6,52,ohc,90,70,5400,38,43,6575
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,90,68,5500,37,41,5572
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,90,68,5500,31,38,6377
1,118,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,98,102,5500,24,30,7957
1,148,dodge,gas,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,6229
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,6692
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,7609
1,148,dodge,gas,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,98,102,5500,24,30,8558
-1,110,dodge,gas,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,122,88,5000,24,30,8921
3,145,dodge,gas,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,12964
2,137,honda,gas,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,92,58,4800,49,54,6479
2,137,honda,gas,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,92,76,6000,31,38,6855
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,79,60,5500,38,42,5399
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,92,76,6000,30,34,6529
1,101,honda,gas,hatchback,fwd,front,93.7,150,64,52.6,ohc,92,76,6000,30,34,7129
0,110,honda,gas,sedan,fwd,front,96.5,163.4,64,54.5,ohc,92,76,6000,30,34,7295
0,78,honda,gas,wagon,fwd,front,96.5,157.1,63.9,58.3,ohc,92,76,6000,30,34,7295
0,106,honda,gas,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,110,86,5800,27,33,7895
0,106,honda,gas,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,110,86,5800,27,33,9095
0,85,honda,gas,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,110,86,5800,27,33,8845
0,85,honda,gas,sedan,fwd,front,96.5,175.4,62.5,54.1,ohc,110,86,5800,27,33,10295
0,85,honda,gas,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,110,101,5800,24,28,12945
1,107,honda,gas,sedan,fwd,front,96.5,169.1,66,51,ohc,110,100,5500,25,31,10345
0,?,isuzu,gas,sedan,rwd,front,94.3,170.7,61.8,53.5,ohc,111,78,4800,24,29,6785
2,?,isuzu,gas,hatchback,rwd,front,96,172.6,65.2,51.4,ohc,119,90,5000,24,29,11048
0,145,jaguar,gas,sedan,rwd,front,113,199.6,69.6,52.8,dohc,258,176,4750,15,19,32250
0,?,jaguar,gas,sedan,rwd,front,113,199.6,69.6,52.8,dohc,258,176,4750,15,19,35550
0,?,jaguar,gas,sedan,rwd,front,102,191.7,70.6,47.8,ohcv,326,262,5000,13,17,36000
1,104,mazda,gas,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,91,68,5000,30,31,5195
1,104,mazda,gas,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,91,68,5000,31,38,6095
1,104,mazda,gas,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,91,68,5000,31,38,6795
1,113,mazda,gas,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,91,68,5000,31,38,6695
1,113,mazda,gas,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,91,68,5000,31,38,7395
3,150,mazda,gas,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,70,101,6000,17,23,10945
3,150,mazda,gas,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,70,101,6000,17,23,11845
3,150,mazda,gas,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,70,101,6000,17,23,13645
3,150,mazda,gas,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,80,135,6000,16,23,15645
1,129,mazda,gas,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,122,84,4800,26,32,8845
0,115,mazda,gas,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,122,84,4800,26,32,8495
1,129,mazda,gas,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,122,84,4800,26,32,10595
0,115,mazda,gas,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,122,84,4800,26,32,10245
0,?,mazda,diesel,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,122,64,4650,36,42,10795
0,115,mazda,gas,hatchback,fwd,front,98.8,177.8,66.5,55.5,ohc,122,84,4800,26,32,11245
0,118,mazda,gas,sedan,rwd,front,104.9,175,66.1,54.4,ohc,140,120,5000,19,27,18280
0,?,mazda,diesel,sedan,rwd,front,104.9,175,66.1,54.4,ohc,134,72,4200,31,39,18344
-1,93,mercedes-benz,diesel,sedan,rwd,front,110,190.9,70.3,56.5,ohc,183,123,4350,22,25,25552
-1,93,mercedes-benz,diesel,wagon,rwd,front,110,190.9,70.3,58.7,ohc,183,123,4350,22,25,28248
0,93,mercedes-benz,diesel,hardtop,rwd,front,106.7,187.5,70.3,54.9,ohc,183,123,4350,22,25,28176
-1,93,mercedes-benz,diesel,sedan,rwd,front,115.6,202.6,71.7,56.3,ohc,183,123,4350,22,25,31600
-1,?,mercedes-benz,gas,sedan,rwd,front,115.6,202.6,71.7,56.5,ohcv,234,155,4750,16,18,34184
3,142,mercedes-benz,gas,convertible,rwd,front,96.6,180.3,70.5,50.8,ohcv,234,155,4750,16,18,35056
0,?,mercedes-benz,gas,sedan,rwd,front,120.9,208.1,71.7,56.7,ohcv,308,184,4500,14,16,40960
1,?,mercedes-benz,gas,hardtop,rwd,front,112,199.2,72,55.4,ohcv,304,184,4500,14,16,45400
1,?,mercury,gas,hatchback,rwd,front,102.7,178.4,68,54.8,ohc,140,175,5000,19,24,16503
2,161,mitsubishi,gas,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,92,68,5500,37,41,5389
2,161,mitsubishi,gas,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,92,68,5500,31,38,6189
2,161,mitsubishi,gas,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,92,68,5500,31,38,6669
1,161,mitsubishi,gas,hatchback,fwd,front,93,157.3,63.8,50.8,ohc,98,102,5500,24,30,7689
3,153,mitsubishi,gas,hatchback,fwd,front,96.3,173,65.4,49.4,ohc,110,116,5500,23,30,9959
3,153,mitsubishi,gas,hatchback,fwd,front,96.3,173,65.4,49.4,ohc,122,88,5000,25,32,8499
3,?,mitsubishi,gas,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,12629
3,?,mitsubishi,gas,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,14869
3,?,mitsubishi,gas,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,14489
1,125,mitsubishi,gas,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,122,88,5000,25,32,6989
1,125,mitsubishi,gas,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,122,88,5000,25,32,8189
1,125,mitsubishi,gas,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,110,116,5500,23,30,9279
-1,137,mitsubishi,gas,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,110,116,5500,23,30,9279
1,128,nissan,gas,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,97,69,5200,31,37,5499
1,128,nissan,diesel,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,103,55,4800,45,50,7099
1,128,nissan,gas,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,97,69,5200,31,37,6649
1,122,nissan,gas,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,97,69,5200,31,37,6849
1,103,nissan,gas,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,97,69,5200,31,37,7349
1,128,nissan,gas,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,97,69,5200,31,37,7299
1,128,nissan,gas,hatchback,fwd,front,94.5,165.6,63.8,53.3,ohc,97,69,5200,31,37,7799
1,122,nissan,gas,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,97,69,5200,31,37,7499
1,103,nissan,gas,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,97,69,5200,31,37,7999
2,168,nissan,gas,hardtop,fwd,front,95.1,162.4,63.8,53.3,ohc,97,69,5200,31,37,8249
0,106,nissan,gas,hatchback,fwd,front,97.2,173.4,65.2,54.7,ohc,120,97,5200,27,34,8949
0,106,nissan,gas,sedan,fwd,front,97.2,173.4,65.2,54.7,ohc,120,97,5200,27,34,9549
0,128,nissan,gas,sedan,fwd,front,100.4,181.7,66.5,55.1,ohcv,181,152,5200,17,22,13499
0,108,nissan,gas,wagon,fwd,front,100.4,184.6,66.5,56.1,ohcv,181,152,5200,17,22,14399
0,108,nissan,gas,sedan,fwd,front,100.4,184.6,66.5,55.1,ohcv,181,152,5200,19,25,13499
3,194,nissan,gas,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,181,160,5200,19,25,17199
3,194,nissan,gas,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,181,200,5200,17,23,19699
1,231,nissan,gas,hatchback,rwd,front,99.2,178.5,67.9,49.7,ohcv,181,160,5200,19,25,18399
0,161,peugot,gas,sedan,rwd,front,107.9,186.7,68.4,56.7,l,120,97,5000,19,24,11900
0,161,peugot,diesel,sedan,rwd,front,107.9,186.7,68.4,56.7,l,152,95,4150,28,33,13200
0,?,peugot,gas,wagon,rwd,front,114.2,198.9,68.4,58.7,l,120,97,5000,19,24,12440
0,?,peugot,diesel,wagon,rwd,front,114.2,198.9,68.4,58.7,l,152,95,4150,25,25,13860
0,161,peugot,gas,sedan,rwd,front,107.9,186.7,68.4,56.7,l,120,95,5000,19,24,15580
0,161,peugot,diesel,sedan,rwd,front,107.9,186.7,68.4,56.7,l,152,95,4150,28,33,16900
0,?,peugot,gas,wagon,rwd,front,114.2,198.9,68.4,56.7,l,120,95,5000,19,24,16695
0,?,peugot,diesel,wagon,rwd,front,114.2,198.9,68.4,58.7,l,152,95,4150,25,25,17075
0,161,peugot,gas,sedan,rwd,front,107.9,186.7,68.4,56.7,l,120,97,5000,19,24,16630
0,161,peugot,diesel,sedan,rwd,front,107.9,186.7,68.4,56.7,l,152,95,4150,28,33,17950
0,161,peugot,gas,sedan,rwd,front,108,186.7,68.3,56,l,134,142,5600,18,24,18150
1,119,plymouth,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,90,68,5500,37,41,5572
1,119,plymouth,gas,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,98,102,5500,24,30,7957
1,154,plymouth,gas,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,90,68,5500,31,38,6229
1,154,plymouth,gas,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,90,68,5500,31,38,6692
1,154,plymouth,gas,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,98,68,5500,31,38,7609
-1,74,plymouth,gas,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,122,88,5000,24,30,8921
3,?,plymouth,gas,hatchback,rwd,front,95.9,173.2,66.3,50.2,ohc,156,145,5000,19,24,12764
3,186,porsche,gas,hatchback,rwd,front,94.5,168.9,68.3,50.2,ohc,151,143,5500,19,27,22018
3,?,porsche,gas,hardtop,rwd,rear,89.5,168.9,65,51.6,ohcf,194,207,5900,17,25,32528
3,?,porsche,gas,hardtop,rwd,rear,89.5,168.9,65,51.6,ohcf,194,207,5900,17,25,34028
3,?,porsche,gas,convertible,rwd,rear,89.5,168.9,65,51.6,ohcf,194,207,5900,17,25,37028
3,150,saab,gas,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,121,110,5250,21,28,11850
2,104,saab,gas,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,121,110,5250,21,28,12170
3,150,saab,gas,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,121,110,5250,21,28,15040
2,104,saab,gas,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,121,110,5250,21,28,15510
3,150,saab,gas,hatchback,fwd,front,99.1,186.6,66.5,56.1,dohc,121,160,5500,19,26,18150
2,104,saab,gas,sedan,fwd,front,99.1,186.6,66.5,56.1,dohc,121,160,5500,19,26,18620
2,83,subaru,gas,hatchback,fwd,front,93.7,156.9,63.4,53.7,ohcf,97,69,4900,31,36,5118
2,83,subaru,gas,hatchback,fwd,front,93.7,157.9,63.6,53.7,ohcf,108,73,4400,26,31,7053
2,83,subaru,gas,hatchback,4wd,front,93.3,157.3,63.8,55.7,ohcf,108,73,4400,26,31,7603
0,102,subaru,gas,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,108,82,4800,32,37,7126
0,102,subaru,gas,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,108,82,4400,28,33,7775
0,102,subaru,gas,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,108,94,5200,26,32,9960
0,102,subaru,gas,sedan,4wd,front,97,172,65.4,54.3,ohcf,108,82,4800,24,25,9233
0,102,subaru,gas,sedan,4wd,front,97,172,65.4,54.3,ohcf,108,111,4800,24,29,11259
0,89,subaru,gas,wagon,fwd,front,97,173.5,65.4,53,ohcf,108,82,4800,28,32,7463
0,89,subaru,gas,wagon,fwd,front,97,173.5,65.4,53,ohcf,108,94,5200,25,31,10198
0,85,subaru,gas,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,108,82,4800,23,29,8013
0,85,subaru,gas,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,108,111,4800,23,23,11694
1,87,toyota,gas,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,92,62,4800,35,39,5348
1,87,toyota,gas,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,92,62,4800,31,38,6338
1,74,toyota,gas,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,92,62,4800,31,38,6488
0,77,toyota,gas,wagon,fwd,front,95.7,169.7,63.6,59.1,ohc,92,62,4800,31,37,6918
0,81,toyota,gas,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,92,62,4800,27,32,7898
0,91,toyota,gas,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,92,62,4800,27,32,8778
0,91,toyota,gas,sedan,fwd,front,95.7,166.3,64.4,53,ohc,98,70,4800,30,37,6938
0,91,toyota,gas,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,98,70,4800,30,37,7198
0,91,toyota,diesel,sedan,fwd,front,95.7,166.3,64.4,53,ohc,110,56,4500,34,36,7898
0,91,toyota,diesel,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,110,56,4500,38,47,7788
0,91,toyota,gas,sedan,fwd,front,95.7,166.3,64.4,53,ohc,98,70,4800,38,47,7738
0,91,toyota,gas,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,98,70,4800,28,34,8358
0,91,toyota,gas,sedan,fwd,front,95.7,166.3,64.4,52.8,ohc,98,70,4800,28,34,9258
1,168,toyota,gas,sedan,rwd,front,94.5,168.7,64,52.6,ohc,98,70,4800,29,34,8058
1,168,toyota,gas,hatchback,rwd,front,94.5,168.7,64,52.6,ohc,98,70,4800,29,34,8238
1,168,toyota,gas,sedan,rwd,front,94.5,168.7,64,52.6,dohc,98,112,6600,26,29,9298
1,168,toyota,gas,hatchback,rwd,front,94.5,168.7,64,52.6,dohc,98,112,6600,26,29,9538
2,134,toyota,gas,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,146,116,4800,24,30,8449
2,134,toyota,gas,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,146,116,4800,24,30,9639
2,134,toyota,gas,hatchback,rwd,front,98.4,176.2,65.6,52,ohc,146,116,4800,24,30,9989
2,134,toyota,gas,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,146,116,4800,24,30,11199
2,134,toyota,gas,hatchback,rwd,front,98.4,176.2,65.6,52,ohc,146,116,4800,24,30,11549
2,134,toyota,gas,convertible,rwd,front,98.4,176.2,65.6,53,ohc,146,116,4800,24,30,17669
-1,65,toyota,gas,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,122,92,4200,29,34,8948
-1,65,toyota,diesel,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,110,73,4500,30,33,10698
-1,65,toyota,gas,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,122,92,4200,27,32,9988
-1,65,toyota,gas,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,122,92,4200,27,32,10898
-1,65,toyota,gas,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,122,92,4200,27,32,11248
3,197,toyota,gas,hatchback,rwd,front,102.9,183.5,67.7,52,dohc,171,161,5200,20,24,16558
3,197,toyota,gas,hatchback,rwd,front,102.9,183.5,67.7,52,dohc,171,161,5200,19,24,15998
-1,90,toyota,gas,sedan,rwd,front,104.5,187.8,66.5,54.1,dohc,171,156,5200,20,24,15690
-1,?,toyota,gas,wagon,rwd,front,104.5,187.8,66.5,54.1,dohc,161,156,5200,19,24,15750
2,122,volkswagen,diesel,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,97,52,4800,37,46,7775
2,122,volkswagen,gas,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,109,85,5250,27,34,7975
2,94,volkswagen,diesel,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,97,52,4800,37,46,7995
2,94,volkswagen,gas,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,109,85,5250,27,34,8195
2,94,volkswagen,gas,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,109,85,5250,27,34,8495
2,94,volkswagen,diesel,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,97,68,4500,37,42,9495
2,94,volkswagen,gas,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,109,100,5500,26,32,9995
3,?,volkswagen,gas,convertible,fwd,front,94.5,159.3,64.2,55.6,ohc,109,90,5500,24,29,11595
3,256,volkswagen,gas,hatchback,fwd,front,94.5,165.7,64,51.4,ohc,109,90,5500,24,29,9980
0,?,volkswagen,gas,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,136,110,5500,19,24,13295
0,?,volkswagen,diesel,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,97,68,4500,33,38,13845
0,?,volkswagen,gas,wagon,fwd,front,100.4,183.1,66.9,55.1,ohc,109,88,5500,25,31,12290
-2,103,volvo,gas,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,141,114,5400,23,28,12940
-1,74,volvo,gas,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,141,114,5400,23,28,13415
-2,103,volvo,gas,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,141,114,5400,24,28,15985
-1,74,volvo,gas,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,141,114,5400,24,28,16515
-2,103,volvo,gas,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,130,162,5100,17,22,18420
-1,74,volvo,gas,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,130,162,5100,17,22,18950
-1,95,volvo,gas,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,141,114,5400,23,28,16845
-1,95,volvo,gas,sedan,rwd,front,109.1,188.8,68.8,55.5,ohc,141,160,5300,19,25,19045
-1,95,volvo,gas,sedan,rwd,front,109.1,188.8,68.9,55.5,ohcv,173,134,5500,18,23,21485
-1,95,volvo,diesel,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,145,106,4800,26,27,22470
-1,95,volvo,gas,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,141,114,5400,19,25,22625
